Lebensmittel; Histamingehalt (mg/kg) oder (mg/l);vertraeglichkeit;biogene Amine (mg/kg);DAO-Hemmer;Histamin-liberatoren;Gehalt an Amino-saeuren (mg/kg);Sonstiges;;;
Gewuerze, scharf;;3;;;ja;;beguenstigen Histaminaufnahme;;;
Glattbutt, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin, Tryptophan 2500;;;;
Glutamat, Glutaminsaeure (E 620);enthaelt Histamin;4;Tyramin;;ja;;;;;
Gluten;;2;;;ja;;;;;
Glycin (E 640);;3;Tyramin;;;;;;;
Goldbarsch, frisch/TK;~7;1;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Gorgonzola;~2-180;4;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Gouda;<10-850, max. 900;4;Tyramin 10-900, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;Hisitidin 10500;Aflatoxine (Schimmeltoxine);;;
Grapefruit;;3;Tyramin;;ja;;Salicylate;;;
Graubuendner Fleisch;~6,6;3;;;;;;;;
Gruener Tee;;2;;ja;ja;;;;;
Gruyere;viel Histamin;4;;;;;;;;
Guanylsaeure (E 626);;3;Tyramin;;;;;;;
Gurken, frisch;histaminarm;1;;;ja;;Salicylate;;;
Hackfleisch/Faschiertes _ 3-4 Tage alt;<1-8;3;Tyramin 31, Serotonin, Dopamin, Putrescin 57;;ja;Tryptophan 2500;;;;
Hackfleisch/Faschiertes _ frisch;<1;2;Tyramin, Serotonin, Dopamin, Putrescin;;ja;Tryptophan 2500;;;;
Hafer/Haferflocken;histaminarm;1;;;;Tryptophan 1900;;;;
Hafermilch;histaminarm;2;;;;;;;;
Harzer (Kaeseart);~10-390;4;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Harzer Kaese (Quargel);<10-50, max. 390;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Hecht;viel Histamin;4;Tyramin 0-500, Serotonin;;;Phenylalanin, Tryptophan 2500;;;;
Hefe;~1600;3;Tyramin;;;;;;;
Hefeextrakt;200-2830;4;Tyramin 66-2256;;;;;;;
Heidelbeeren;histaminarm;1;;;;;;;;
Heilbutt, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin, Tryptophan 2500;;;;
Hering in Tomatensauce;500-3000;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Hering, frisch;~1-350;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Heringssalat;500-1430;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Himbeere;;4;Tyramin 13-93, Serotonin;;ja;;;;;
Hirsch;viel Histamin;3;;;;;;;;
Hirse;histaminarm;1;;;;Tryptophan 1800;;;;
Hoki, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin, Tryptophan 2500;;;;
Honig;enthaelt Histamin;2;;;ja;;Benzoesaeure;;;
Huehnerei;;2;;;ja;Histidin 3300, Tryptophan 2300;;;;
Huehnereigelb;histaminarm;1;;;;Histidin 4400;;;;
Huehnereiwei�;;3;;;ja;Histidin 2800;;;;
Huehnerfleisch, frisch;<1-120;2;;;;;;;;
Huelsenfruechte;;2;Spermin 35-55. Spermidin 50-70;;;;;;;
Hummerpastete, frisch;~0,8;2;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan;;;;
Inigotin (E 132);enthaelt Histamin;3;;;ja;;;;;
Innereien;viel Histamin;4;;;;;;;;
Inosinsaeure (E 630);;3;Tyramin;;;;;;;
Joghurt, natur;~2,1;2;Tyramin;;;Histidin 1000, Tryptophan 450;;;;
Johannisbeeren;~1;1;Serotonin;;ja;;Salicylate;;;
Kabeljau, frisch;0-77;2;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Kabeljau, TK;0-60;1;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Kaffee;;3;;ja;ja;;;;;
Kaffeesahne, 10% Fett;;1;;;;Histidin 800;;;;
Kakao;~5;4;Phenylethylamin, Tyramin;ja;ja;Histidin 2380;;;;
Kaliumadipat (E 357);;3;Tyramin;;;;;;;
Kaliumchlorid (E 508);;3;Tyramin;;;;;;;
Kaliumglutamat (E 622);enthaelt Histamin;4;Tyramin;;ja;;;;;
Kaliumlactat (E 326);;3;Tyramin;;;;;;;
Kalzium-5-ribonukleotid (E 634);;3;Tyramin;;;;;;;
Kalziumchlorid (E 509);;3;Tyramin;;;;;;;
Kalziumdiglutamat (E 623);enthaelt Histamin;4;Tyramin;;ja;;;;;
Kalziumguanylat (E 629);;3;Tyramin;;;;;;;
Kalziumlactat (E 327);;3;Tyramin;;;;;;;
Kamille;;2;;;ja;;Salicylate;;;
Kaninchen;viel Histamin;3;;;;;;;;
Kantwurst;<10-50;4;Tyramin 85-244;;;;;;;
Karotten/Moehren;histaminarm;1;ja;;;;;;;
Karpfen;viel Histamin;4;;;;;;;;
Kartoffeln;histaminarm;2;Tyramin, Spermin, Spermidin;;ja;Histidin 300;Salicylate;;;
Kaugummi;histaminarm;2;ja;;ja;;Salicylate;;;
Kaese nach Hollaender Art;<10-60;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Kefir (mit Alkohol);enthaelt Histamin;3;;ja;ja;;;;;
Khaki/Sharon;histaminarm;1;;;;;;;;
Kichererbsen;;2;;;;Tryptophan 1600;;;;
Kirschen;histaminarm;1;;;ja;;Salicylate;;;
Kiwi;histaminarm;3;Serotonin;;ja;Histidin 150;;;;
Knabbergebaeck;enthaelt Histamin;4;;;ja;;;;;
Knacker (Wurst);~100;4;;;;;;;;
Knappseer;<10-100;4;Tyramin 85-244;;;;;;;
Knoblauch;histaminarm;2;Spermin, Spermidin;;;;;;;
Knurrhahn, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin, Tryptophan 2500;;;;
Kohl;histaminarm;2;Tyramin;;;;;;;
Kohlrabi;histaminarm;2;Tyramin;;;Histidin 400;;;;
